Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01001899,Hammersmith and Fulham 013D,792
E01001900,Hammersmith and Fulham 013E,718
E01001901,Hammersmith and Fulham 019B,683
E01001902,Hammersmith and Fulham 019C,806
E01001903,Hammersmith and Fulham 019D,595
E01001904,Hammersmith and Fulham 022A,711
E01001905,Hammersmith and Fulham 022B,708
E01001906,Hammersmith and Fulham 022C,622
E01001907,Hammersmith and Fulham 022D,544
E01001908,Hammersmith and Fulham 015B,760
E01001909,Hammersmith and Fulham 015C,858
E01001910,Hammersmith and Fulham 014B,735
E01001911,Hammersmith and Fulham 015D,709
E01001912,Hammersmith and Fulham 015E,522
E01001913,Hammersmith and Fulham 014C,711
E01001914,Hammersmith and Fulham 014D,828
E01001915,Hammersmith and Fulham 024A,628
E01001916,Hammersmith and Fulham 024B,604
E01001917,Hammersmith and Fulham 018C,698
E01001918,Hammersmith and Fulham 018D,613
E01001919,Hammersmith and Fulham 018E,599
E01001920,Hammersmith and Fulham 020A,776
E01001921,Hammersmith and Fulham 020B,604
E01001922,Hammersmith and Fulham 020C,641
E01001923,Hammersmith and Fulham 020D,649
E01001924,Hammersmith and Fulham 020E,610
E01001925,Hammersmith and Fulham 025A,619
E01001926,Hammersmith and Fulham 024C,581
E01001927,Hammersmith and Fulham 008C,517
E01001928,Hammersmith and Fulham 011A,682
E01001929,Hammersmith and Fulham 009D,591
E01001930,Hammersmith and Fulham 008D,771
E01001931,Hammersmith and Fulham 011B,656
E01001932,Hammersmith and Fulham 011C,746
E01001933,Hammersmith and Fulham 011D,688
E01001934,Hammersmith and Fulham 025B,795
E01001935,Hammersmith and Fulham 023A,922
E01001937,Hammersmith and Fulham 025C,724
E01001938,Hammersmith and Fulham 025D,632
E01001940,Hammersmith and Fulham 005B,709
E01001941,Hammersmith and Fulham 005C,770
E01001942,Hammersmith and Fulham 005D,867
E01001943,Hammersmith and Fulham 004A,1101
E01001944,Hammersmith and Fulham 004B,799
E01001945,Hammersmith and Fulham 004C,749
E01001946,Hammersmith and Fulham 004D,849
E01001947,Hammersmith and Fulham 021A,587
E01001948,Hammersmith and Fulham 021B,841
E01001949,Hammersmith and Fulham 021C,644
E01001950,Hammersmith and Fulham 021D,592
E01001951,Hammersmith and Fulham 021E,694
E01001952,Hammersmith and Fulham 024D,827
E01001953,Hammersmith and Fulham 021F,681
E01001954,Hammersmith and Fulham 003A,666
E01001955,Hammersmith and Fulham 002A,823
E01001956,Hammersmith and Fulham 003B,599
E01001957,Hammersmith and Fulham 002B,583
E01001958,Hammersmith and Fulham 002C,599
E01001959,Hammersmith and Fulham 003C,580
E01001960,Hammersmith and Fulham 003D,772
E01001961,Hammersmith and Fulham 002D,531
E01001962,Haringey 004A,640
E01001963,Haringey 009A,677
E01001964,Haringey 009B,639
E01001965,Haringey 009C,629
E01001966,Haringey 009D,518
E01001967,Haringey 014A,603
E01001968,Haringey 014B,694
E01001969,Haringey 001A,870
E01001970,Haringey 004B,749
E01001971,Haringey 001B,815
E01001972,Haringey 004C,729
E01001973,Haringey 004D,1002
E01001974,Haringey 001C,973
E01001975,Haringey 001D,814
E01001976,Haringey 011A,686
E01001977,Haringey 011B,606
E01001978,Haringey 011C,786
E01001979,Haringey 011D,927
E01001980,Haringey 018A,702
E01001981,Haringey 018B,646
E01001982,Haringey 018C,719
E01001983,Haringey 018D,651
E01001984,Haringey 033A,957
E01001985,Haringey 033B,726
E01001986,Haringey 034A,698
E01001987,Haringey 033C,760
E01001988,Haringey 034B,789
E01001989,Haringey 033D,758
E01001990,Haringey 034C,939
E01001991,Haringey 017A,739
E01001992,Haringey 017B,678
E01001993,Haringey 017C,604
E01001994,Haringey 030A,741
E01001995,Haringey 017D,942
E01001996,Haringey 014C,615
E01001997,Haringey 014D,702
E01001998,Haringey 023A,825
E01001999,Haringey 023B,962
E01002000,Haringey 031A,739
E01002001,Haringey 031B,686
E01002002,Haringey 031C,793
E01002003,Haringey 023C,1139
E01002004,Haringey 023D,719
E01002005,Haringey 035A,735
E01002006,Haringey 035B,772
E01002007,Haringey 035C,686
E01002008,Haringey 030B,527
E01002009,Haringey 035D,652
E01002010,Haringey 030C,698
E01002011,Haringey 030D,778
E01002013,Haringey 022A,572
E01002014,Haringey 020B,837
E01002015,Haringey 020C,631
E01002016,Haringey 028A,879
E01002017,Haringey 028B,654
E01002018,Haringey 020D,596
E01002019,Haringey 022B,545
E01002020,Haringey 021A,701
E01002021,Haringey 022C,566
E01002022,Haringey 021B,980
E01002023,Haringey 021C,588
E01002024,Haringey 022D,527
E01002025,Haringey 021D,598
E01002026,Haringey 016A,754
E01002027,Haringey 010A,550
E01002028,Haringey 010B,624
E01002029,Haringey 016B,728
E01002030,Haringey 016C,638
E01002031,Haringey 016D,750
E01002032,Haringey 010C,733
E01002033,Haringey 010D,690
E01002034,Haringey 037A,1021
E01002036,Haringey 002A,697
E01002037,Haringey 002B,684
E01002038,Haringey 037B,712
E01002039,Haringey 002C,621
E01002040,Haringey 002D,879
E01002041,Haringey 037C,733
E01002042,Haringey 027A,591
E01002043,Haringey 026A,701
E01002044,Haringey 027B,712
E01002045,Haringey 026B,825
E01002046,Haringey 026C,662
E01002047,Haringey 027C,631
E01002048,Haringey 027D,738
E01002049,Haringey 026D,699
E01002050,Haringey 029A,470
E01002051,Haringey 029B,686
E01002052,Haringey 029C,505
E01002053,Haringey 032A,724
E01002054,Haringey 032B,680
E01002055,Haringey 029D,502
E01002056,Haringey 032C,922
E01002057,Haringey 032D,596
E01002058,Haringey 031D,648
E01002059,Haringey 028C,700
E01002060,Haringey 028D,751
E01002061,Haringey 036A,692
E01002062,Haringey 034D,826
E01002063,Haringey 036B,713
E01002064,Haringey 036C,653
E01002065,Haringey 036D,740
E01002066,Haringey 025A,906
E01002067,Haringey 024A,733
E01002068,Haringey 025B,857
E01002069,Haringey 024B,966
E01002070,Haringey 024C,1078
E01002071,Haringey 025C,700
E01002072,Haringey 025D,677
E01002073,Haringey 024D,662
E01002074,Haringey 012A,855
E01002075,Haringey 015A,722
E01002076,Haringey 015B,679
E01002077,Haringey 012B,857
E01002078,Haringey 015C,1133
E01002079,Haringey 012C,607
E01002081,Haringey 012D,682
E01002082,Haringey 013A,570
E01002083,Haringey 019A,534
E01002084,Haringey 019B,657
E01002085,Haringey 019C,795
E01002086,Haringey 013B,617
E01002087,Haringey 019D,849
E01002088,Haringey 013C,670
E01002089,Haringey 013D,513
E01002090,Haringey 005A,637
E01002091,Haringey 006A,634
E01002092,Haringey 006B,645
E01002093,Haringey 005B,660
E01002094,Haringey 006C,528
E01002095,Haringey 006D,619
E01002096,Haringey 005C,588
E01002097,Haringey 005D,594
E01002098,Haringey 007A,647
E01002099,Haringey 008A,803
E01002100,Haringey 008B,661
E01002101,Haringey 007B,735
E01002102,Haringey 007C,719
E01002103,Haringey 008C,687
E01002104,Haringey 008D,515
E01002105,Haringey 007D,889
E01002106,Harrow 008A,645
E01002107,Harrow 012A,566
E01002108,Harrow 008B,550
E01002109,Harrow 008C,646
E01002110,Harrow 008D,532
E01002111,Harrow 008E,682
E01002112,Harrow 001A,735
E01002113,Harrow 002A,596
E01002114,Harrow 001B,1013
E01002115,Harrow 002B,507
E01002116,Harrow 002C,624
E01002118,Harrow 002E,675
E01002119,Harrow 007A,867
E01002120,Harrow 007B,479
E01002121,Harrow 007C,530
E01002122,Harrow 007D,560
E01002123,Harrow 007E,514
E01002124,Harrow 010A,493
E01002125,Harrow 010B,553
E01002127,Harrow 023B,648
E01002128,Harrow 020A,805
E01002129,Harrow 023C,1196
E01002130,Harrow 020B,1109
E01002131,Harrow 023D,608
E01002132,Harrow 029A,817
E01002133,Harrow 027A,809
E01002134,Harrow 029B,586
E01002135,Harrow 029C,710
E01002136,Harrow 027B,711
E01002137,Harrow 029D,447
E01002138,Harrow 027C,510
E01002139,Harrow 006A,501
E01002140,Harrow 005A,614
E01002141,Harrow 005B,655
E01002142,Harrow 005C,656
E01002143,Harrow 005D,540
E01002144,Harrow 004A,575
E01002145,Harrow 005E,624
E01002146,Harrow 004B,506
E01002147,Harrow 004C,490
E01002148,Harrow 006B,487
E01002149,Harrow 004D,473
E01002150,Harrow 006C,895
E01002151,Harrow 006D,529
E01002152,Harrow 006E,632
E01002153,Harrow 019A,622
E01002155,Harrow 019B,630
E01002156,Harrow 015B,521
E01002157,Harrow 019C,591
E01002158,Harrow 019D,488
E01002159,Harrow 021A,685
E01002160,Harrow 021B,939
E01002161,Harrow 021C,713
E01002162,Harrow 015C,680
E01002163,Harrow 015D,539
E01002164,Harrow 021D,710
E01002165,Harrow 017A,532
E01002166,Harrow 017B,487
E01002167,Harrow 017C,474
E01002168,Harrow 017D,506
E01002169,Harrow 017E,528
E01002170,Harrow 033A,407
E01002171,Harrow 033B,538
E01002172,Harrow 033C,490
E01002173,Harrow 033D,568
E01002174,Harrow 033E,494
E01002175,Harrow 033F,404
E01002176,Harrow 033G,516
E01002177,Harrow 033H,473
E01002178,Harrow 033I,507
E01002179,Harrow 013A,911
E01002181,Harrow 020C,849
E01002182,Harrow 020D,689
E01002183,Harrow 013C,671
E01002184,Harrow 013D,653
E01002185,Harrow 009A,650
E01002186,Harrow 009B,785
E01002187,Harrow 009C,758
E01002188,Harrow 016A,627
E01002189,Harrow 016B,725
E01002190,Harrow 009D,604
E01002191,Harrow 022A,659
E01002192,Harrow 016C,666
E01002193,Harrow 016D,741
E01002194,Harrow 022B,655
E01002195,Harrow 022C,602
E01002196,Harrow 022D,609
E01002197,Harrow 012B,421
E01002198,Harrow 010C,499
E01002199,Harrow 012C,474
E01002200,Harrow 010D,570
E01002201,Harrow 012D,504
E01002202,Harrow 012E,705
E01002203,Harrow 010E,552
E01002204,Harrow 032A,637
E01002206,Harrow 032B,455
E01002207,Harrow 032C,546
E01002208,Harrow 025A,487
E01002209,Harrow 025B,665
E01002210,Harrow 032D,491
E01002211,Harrow 028A,470
E01002212,Harrow 028B,647
E01002214,Harrow 031A,616
E01002215,Harrow 031B,615
E01002216,Harrow 028C,517
E01002217,Harrow 028D,780
E01002218,Harrow 030A,645
E01002219,Harrow 030B,625
E01002220,Harrow 031C,495
E01002221,Harrow 030C,520
E01002222,Harrow 030D,495
E01002223,Harrow 031D,579
E01002224,Harrow 031E,530
E01002225,Harrow 001C,692
E01002226,Harrow 001D,1104
E01002227,Harrow 003A,649
E01002228,Harrow 003B,787
E01002229,Harrow 003C,744
E01002230,Harrow 003D,632
E01002231,Harrow 013E,665
E01002232,Harrow 011A,738
E01002233,Harrow 011B,833
E01002234,Harrow 011C,615
E01002235,Harrow 011D,601
E01002236,Harrow 011E,759
E01002237,Harrow 024A,809
E01002238,Harrow 024B,618
E01002239,Harrow 025C,754
E01002240,Harrow 024C,665
E01002241,Harrow 025D,657
E01002242,Harrow 024D,625
E01002243,Havering 013A,833
E01002244,Havering 011A,726
E01002245,Havering 011B,624
E01002246,Havering 017A,635
E01002247,Havering 017B,892
E01002248,Havering 017C,631
E01002250,Havering 017E,700
E01002251,Havering 017F,513
E01002252,Havering 018A,634
E01002253,Havering 019A,610
E01002254,Havering 019B,635
E01002255,Havering 022A,632
E01002256,Havering 018B,612
E01002257,Havering 019C,654
E01002258,Havering 018C,767
E01002259,Havering 018D,604
E01002260,Havering 026A,625
E01002261,Havering 026B,656
E01002262,Havering 026C,675
E01002263,Havering 026D,604
E01002264,Havering 026E,701
E01002265,Havering 025A,627
E01002266,Havering 027A,602
E01002267,Havering 027B,752
E01002268,Havering 010A,530
E01002269,Havering 010B,679
E01002270,Havering 015A,647
E01002271,Havering 015B,520
E01002272,Havering 014A,538
E01002273,Havering 015C,484
E01002274,Havering 014B,677
E01002275,Havering 015D,500
E01002276,Havering 001A,692
E01002277,Havering 002A,612
E01002278,Havering 001B,628
E01002279,Havering 002B,650
E01002280,Havering 004A,666
E01002281,Havering 002C,971
E01002282,Havering 004B,718
E01002283,Havering 002D,604
E01002284,Havering 004C,769
E01002285,Havering 025B,545
E01002286,Havering 025C,608
E01002287,Havering 023A,603
E01002288,Havering 025D,610
E01002289,Havering 022B,633
E01002290,Havering 025E,622
E01002291,Havering 023B,751
E01002292,Havering 022C,652
E01002294,Havering 007B,633
E01002295,Havering 010C,807
E01002296,Havering 007C,695
E01002297,Havering 004D,675
E01002298,Havering 007D,645
E01002299,Havering 002E,658
E01002300,Havering 007E,843
E01002301,Havering 003A,624
E01002302,Havering 005A,628
E01002303,Havering 003B,813
E01002304,Havering 003C,529
E01002305,Havering 005B,616
E01002306,Havering 003D,662
E01002307,Havering 003E,665
E01002308,Havering 005C,669
E01002309,Havering 006A,653
E01002310,Havering 006B,730
E01002311,Havering 006C,677
E01002312,Havering 001C,701
E01002313,Havering 001D,852
E01002314,Havering 004E,647
E01002315,Havering 006D,639
E01002316,Havering 004F,815
E01002317,Havering 014C,554
E01002318,Havering 014D,625
E01002319,Havering 016A,732
E01002320,Havering 021A,539
E01002321,Havering 021B,702
E01002322,Havering 021C,731
E01002323,Havering 021D,627
E01002324,Havering 021E,654
E01002325,Havering 011C,833
E01002326,Havering 005D,643
E01002327,Havering 009A,603
E01002328,Havering 009B,640
E01002329,Havering 011D,646
E01002330,Havering 011E,703
E01002331,Havering 005E,609
E01002332,Havering 009C,690
E01002333,Havering 008A,517
E01002334,Havering 008B,663
E01002335,Havering 009D,572
E01002336,Havering 008C,617
E01002337,Havering 012A,493
E01002338,Havering 009E,513
E01002339,Havering 008D,598
E01002340,Havering 009F,507
E01002341,Havering 008E,546
E01002342,Havering 030A,613
E01002343,Havering 029A,636
E01002344,Havering 029B,743
E01002345,Havering 030B,787
E01002346,Havering 030C,551
E01002347,Havering 030D,546
E01002348,Havering 029C,647
E01002349,Havering 029D,596
E01002350,Havering 016B,681
E01002351,Havering 016C,695
E01002352,Havering 016D,808
E01002353,Havering 013B,857
E01002354,Havering 012B,567
E01002355,Havering 014E,569
E01002356,Havering 013C,947
E01002358,Havering 016E,873
E01002359,Havering 020A,519
E01002360,Havering 020B,729
E01002361,Havering 020C,894
E01002362,Havering 022D,626
E01002363,Havering 020D,627
E01002364,Havering 023C,538
E01002365,Havering 023D,534
E01002366,Havering 023E,564
E01002367,Havering 020E,704
E01002368,Havering 028A,983
E01002369,Havering 028B,740
E01002370,Havering 028C,865
E01002371,Havering 028D,654
E01002372,Havering 027C,613
E01002373,Havering 027D,625
E01002374,Havering 027E,633
E01002375,Havering 028E,692
E01002376,Havering 012C,526
E01002377,Havering 010D,747
E01002378,Havering 010E,603
E01002379,Havering 012D,667
E01002380,Havering 012E,1069
E01002381,Havering 012F,634
E01002382,Havering 014F,752
E01002383,Havering 010F,652
E01002384,Havering 019D,677
E01002385,Havering 024A,600
E01002386,Havering 022E,915
E01002387,Havering 024B,604
E01002388,Havering 024C,597
E01002389,Havering 024D,617
E01002390,Havering 024E,526
E01002391,Havering 018E,629
E01002392,Hillingdon 020A,611
E01002393,Hillingdon 020B,723
E01002394,Hillingdon 021A,517
E01002395,Hillingdon 021B,433
E01002396,Hillingdon 026A,576
E01002397,Hillingdon 021C,576
E01002398,Hillingdon 021D,508
E01002399,Hillingdon 021E,493
E01002400,Hillingdon 024A,636
E01002401,Hillingdon 024B,763
E01002402,Hillingdon 024C,512
E01002403,Hillingdon 024D,732
E01002404,Hillingdon 024E,679
E01002405,Hillingdon 027A,644
E01002408,Hillingdon 019A,660
E01002409,Hillingdon 019B,700
E01002410,Hillingdon 017A,678
E01002411,Hillingdon 022A,713
E01002412,Hillingdon 017B,793
E01002413,Hillingdon 022B,599
E01002414,Hillingdon 015A,531
E01002415,Hillingdon 010A,641
E01002416,Hillingdon 008A,593
E01002417,Hillingdon 008B,749
E01002418,Hillingdon 006A,659
E01002419,Hillingdon 006B,644
E01002420,Hillingdon 008C,672
E01002421,Hillingdon 008D,627
E01002422,Hillingdon 018A,495
E01002423,Hillingdon 018B,604
E01002424,Hillingdon 018C,533
E01002425,Hillingdon 018D,601
E01002426,Hillingdon 021F,653
E01002427,Hillingdon 018E,517
E01002428,Hillingdon 018F,512
E01002429,Hillingdon 019C,524
E01002430,Hillingdon 007A,525
E01002431,Hillingdon 006C,487
E01002432,Hillingdon 006D,634
E01002433,Hillingdon 004A,1011
E01002434,Hillingdon 007B,494
E01002435,Hillingdon 007C,573
E01002436,Hillingdon 004B,675
E01002437,Hillingdon 006E,590
E01002438,Hillingdon 003A,562
E01002439,Hillingdon 003B,622
E01002440,Hillingdon 003C,633
E01002441,Hillingdon 003D,707
E01002442,Hillingdon 003E,652
E01002443,Hillingdon 032A,685
E01002444,Hillingdon 031A,665
E01002445,Hillingdon 029A,626
E01002446,Hillingdon 031B,630
E01002447,Hillingdon 031C,717
E01002448,Hillingdon 032B,763
E01002449,Hillingdon 032C,734
E01002450,Hillingdon 014A,498
E01002451,Hillingdon 014B,501
E01002452,Hillingdon 014C,511
E01002453,Hillingdon 014D,620
E01002454,Hillingdon 014E,652
E01002455,Hillingdon 019D,697
E01002456,Hillingdon 017C,635
E01002457,Hillingdon 019E,525
E01002458,Hillingdon 011A,530
E01002459,Hillingdon 011B,630
E01002460,Hillingdon 011C,616
E01002461,Hillingdon 013A,527
E01002462,Hillingdon 011D,523
E01002463,Hillingdon 013B,522
E01002464,Hillingdon 011E,621
E01002465,Hillingdon 009A,640
E01002466,Hillingdon 010B,632
E01002467,Hillingdon 009B,627
E01002468,Hillingdon 010C,637
E01002469,Hillingdon 010D,643
E01002470,Hillingdon 007D,714
E01002471,Hillingdon 008E,632
E01002472,Hillingdon 002A,803
E01002473,Hillingdon 001A,683
E01002474,Hillingdon 002B,691
E01002475,Hillingdon 001B,711
E01002476,Hillingdon 001C,633
E01002477,Hillingdon 001D,568
E01002478,Hillingdon 002C,668
E01002479,Hillingdon 004C,656
E01002480,Hillingdon 004D,696
E01002481,Hillingdon 004E,653
E01002482,Hillingdon 001E,622
E01002483,Hillingdon 002D,727
E01002484,Hillingdon 002E,580
E01002485,Hillingdon 002F,836
E01002486,Hillingdon 028A,690
E01002487,Hillingdon 028B,628
E01002488,Hillingdon 030B,522
E01002489,Hillingdon 030C,555
E01002490,Hillingdon 030D,675
E01002491,Hillingdon 032D,525
E01002492,Hillingdon 030E,499
E01002493,Hillingdon 032E,611
E01002494,Hillingdon 009C,637
E01002495,Hillingdon 010E,701
E01002496,Hillingdon 033A,775
E01002497,Hillingdon 033B,990
E01002498,Hillingdon 033C,525
E01002499,Hillingdon 033D,680
E01002501,Hillingdon 026B,513
E01002502,Hillingdon 026C,565
E01002503,Hillingdon 027C,550
E01002505,Hillingdon 026D,660
E01002506,Hillingdon 027E,651
E01002507,Hillingdon 027F,548
E01002508,Hillingdon 026E,707
E01002509,Hillingdon 017D,509
E01002511,Hillingdon 017E,643
E01002512,Hillingdon 013C,769
E01002513,Hillingdon 013D,585
E01002514,Hillingdon 015C,883
E01002516,Hillingdon 013E,496
E01002518,Hillingdon 022C,487
E01002519,Hillingdon 022D,957
E01002520,Hillingdon 016B,784
E01002521,Hillingdon 016C,1015
E01002523,Hillingdon 016D,545
E01002525,Hillingdon 029B,687
E01002526,Hillingdon 028C,999
E01002527,Hillingdon 031D,629
E01002528,Hillingdon 028D,579
E01002529,Hillingdon 029C,908
E01002530,Hillingdon 029D,616
E01002531,Hillingdon 029E,651
E01002533,Hillingdon 005A,584
E01002534,Hillingdon 005B,598
E01002535,Hillingdon 007E,1000
E01002536,Hillingdon 009D,588
E01002537,Hillingdon 009E,1038
E01002538,Hillingdon 005C,763
E01002539,Hillingdon 005D,693
E01002540,Hillingdon 020C,644
E01002541,Hillingdon 023A,802
E01002542,Hillingdon 020D,703
E01002543,Hillingdon 020E,645
E01002544,Hillingdon 023B,557
E01002545,Hillingdon 023C,493
E01002546,Hillingdon 023D,456
E01002547,Hillingdon 023E,509
E01002548,Hillingdon 025A,733
E01002549,Hillingdon 025B,715
E01002550,Hillingdon 022E,795
E01002551,Hillingdon 025C,686
E01002552,Hillingdon 025D,568
E01002553,Hillingdon 025E,626
E01002555,Hounslow 022A,703
E01002556,Hounslow 022B,662
E01002557,Hounslow 023A,731
E01002558,Hounslow 023B,819
E01002559,Hounslow 023C,918
E01002560,Hounslow 023D,659
E01002561,Hounslow 023E,597
E01002562,Hounslow 030D,522
E01002563,Hounslow 006A,746
E01002564,Hounslow 031E,723
E01002565,Hounslow 006B,1054
E01002567,Hounslow 006C,871
E01002569,Hounslow 001A,963
E01002570,Hounslow 001B,667
E01002571,Hounslow 007A,589
E01002572,Hounslow 007B,619
E01002573,Hounslow 001C,638
E01002574,Hounslow 001D,684
E01002575,Hounslow 001E,665
E01002576,Hounslow 008A,703
E01002577,Hounslow 007C,682
E01002578,Hounslow 007D,591
E01002579,Hounslow 008B,771
E01002580,Hounslow 008C,679
E01002581,Hounslow 008D,841
E01002582,Hounslow 008E,697
E01002583,Hounslow 013A,535
E01002584,Hounslow 013B,635
E01002585,Hounslow 013C,521
E01002586,Hounslow 013D,499
E01002587,Hounslow 016A,739
E01002588,Hounslow 016B,745
E01002589,Hounslow 013E,815
E01002590,Hounslow 022C,999
E01002591,Hounslow 024A,611
E01002592,Hounslow 022D,775
E01002593,Hounslow 024B,698
E01002594,Hounslow 024C,647
E01002595,Hounslow 022E,713
E01002596,Hounslow 027A,756
E01002598,Hounslow 025B,658
E01002599,Hounslow 025C,558
E01002600,Hounslow 025D,512
E01002601,Hounslow 027B,667
E01002602,Hounslow 027C,549
E01002603,Hounslow 025E,648
E01002604,Hounslow 026A,556
E01002605,Hounslow 026B,831
E01002606,Hounslow 026C,617
E01002607,Hounslow 026D,778
E01002608,Hounslow 028A,665
E01002609,Hounslow 028B,663
E01002610,Hounslow 028C,635
E01002611,Hounslow 024D,673
E01002612,Hounslow 024E,824
E01002613,Hounslow 024F,629
E01002614,Hounslow 027D,817
E01002615,Hounslow 026E,634
E01002616,Hounslow 027E,567
E01002617,Hounslow 028D,638
E01002618,Hounslow 011A,559
E01002619,Hounslow 010A,634
E01002620,Hounslow 004A,898
E01002621,Hounslow 011B,607
E01002622,Hounslow 010B,573
E01002623,Hounslow 011C,543
E01002624,Hounslow 017A,516
E01002625,Hounslow 004B,488
E01002626,Hounslow 004C,484
E01002627,Hounslow 004D,607
E01002628,Hounslow 011D,653
E01002629,Hounslow 011E,883
E01002630,Hounslow 012A,679
E01002631,Hounslow 004E,558
E01002632,Hounslow 010C,625
E01002633,Hounslow 005A,744
E01002634,Hounslow 005B,541
E01002635,Hounslow 010D,556
E01002636,Hounslow 010E,617
E01002637,Hounslow 005C,614
E01002638,Hounslow 005D,618
E01002639,Hounslow 012B,548
E01002640,Hounslow 012C,622
E01002641,Hounslow 018A,985
E01002643,Hounslow 015B,1046
E01002645,Hounslow 015C,777
E01002646,Hounslow 017B,748
E01002647,Hounslow 021A,757
E01002649,Hounslow 018D,731
E01002650,Hounslow 021B,792
E01002651,Hounslow 021C,564
E01002652,Hounslow 021D,563
E01002653,Hounslow 019A,600
E01002654,Hounslow 019B,660
E01002655,Hounslow 019C,628
E01002656,Hounslow 019D,523
E01002657,Hounslow 018E,682
E01002658,Hounslow 015D,494
E01002659,Hounslow 019E,511
E01002660,Hounslow 016C,615
E01002661,Hounslow 016D,616
E01002662,Hounslow 017C,916
E01002663,Hounslow 017D,690
E01002665,Hounslow 016E,566
E01002666,Hounslow 021E,483
E01002667,Hounslow 020A,913
E01002668,Hounslow 014A,981
E01002669,Hounslow 014B,708
E01002670,Hounslow 020B,725
E01002671,Hounslow 020C,666
E01002672,Hounslow 020D,659
E01002673,Hounslow 020E,585
E01002674,Hounslow 012D,748
E01002675,Hounslow 009A,874
E01002676,Hounslow 012E,562
E01002677,Hounslow 015E,837
E01002678,Hounslow 009B,760
E01002679,Hounslow 009C,623
E01002680,Hounslow 009D,742
E01002681,Hounslow 014C,873
E01002682,Hounslow 014D,896
E01002686,Hounslow 006E,669
E01002687,Hounslow 029A,761
E01002689,Hounslow 007E,754
E01002690,Hounslow 007F,583
E01002691,Hounslow 029B,584
E01002692,Hounslow 029C,1013
E01002693,Hounslow 029D,885
E01002694,Islington 019A,664
E01002695,Islington 021A,744
E01002696,Islington 020A,860
E01002697,Islington 019B,827
E01002698,Islington 017A,1037
E01002699,Islington 017B,741
E01002700,Islington 017C,612
E01002701,Islington 023A,678
E01002702,Islington 023B,1115
E01002703,Islington 023C,1126
E01002704,Islington 023D,1121
E01002706,Islington 023E,913
E01002707,Islington 022B,890
E01002708,Islington 015A,1001
E01002709,Islington 019C,701
E01002710,Islington 019D,645
E01002711,Islington 021B,962
E01002712,Islington 015B,611
E01002713,Islington 015C,1051
E01002714,Islington 017D,719
E01002715,Islington 019E,685
E01002716,Islington 014A,1033
E01002717,Islington 016A,535
E01002718,Islington 014B,749
E01002719,Islington 016B,690
E01002720,Islington 016C,934
E01002721,Islington 014C,799
E01002722,Islington 018A,701
E01002723,Islington 022C,735
E01002724,Islington 022D,963
E01002725,Islington 022E,561
E01002726,Islington 022F,786
E01002727,Islington 021C,801
E01002728,Islington 021D,438
E01002729,Islington 021E,659
E01002730,Islington 007A,793
E01002732,Islington 005A,814
E01002733,Islington 007C,607
E01002734,Islington 005B,936
E01002735,Islington 003A,1131
E01002736,Islington 005C,576
E01002737,Islington 005D,758
E01002738,Islington 009A,846
E01002739,Islington 013A,816
E01002740,Islington 013B,980
E01002741,Islington 009B,635
E01002742,Islington 006A,714
E01002743,Islington 009C,628
E01002744,Islington 009D,674
E01002745,Islington 013C,682
E01002747,Islington 006B,648
E01002748,Islington 006C,692
E01002749,Islington 006D,603
E01002751,Islington 005E,873
E01002752,Islington 009E,704
E01002753,Islington 002A,627
E01002754,Islington 002B,631
E01002755,Islington 001A,610
E01002756,Islington 001B,585
E01002757,Islington 002C,598
E01002758,Islington 001C,756
E01002759,Islington 002D,615
E01002760,Islington 002E,689
E01002762,Islington 011C,859
E01002763,Islington 007D,572
E01002764,Islington 010A,796
E01002765,Islington 015D,1070
E01002766,Islington 015E,933
E01002767,Islington 011D,943
E01002768,Islington 004A,848
E01002769,Islington 008A,707
E01002770,Islington 004B,909
E01002771,Islington 004C,671
E01002772,Islington 002F,873
E01002773,Islington 004D,685
E01002774,Islington 004E,1026
E01002775,Islington 014D,661
E01002776,Islington 014E,889
E01002777,Islington 012A,763
E01002778,Islington 012B,755
E01002779,Islington 012C,775
E01002780,Islington 014F,764
E01002781,Islington 012D,643
E01002782,Islington 012E,558
E01002783,Islington 010B,797
E01002784,Islington 010C,753
E01002785,Islington 008B,782
E01002786,Islington 010D,887
E01002787,Islington 010E,625
E01002788,Islington 008C,889
E01002789,Islington 008D,780
E01002790,Islington 016D,693
E01002791,Islington 016E,850
E01002792,Islington 017E,884
E01002793,Islington 016F,900
E01002794,Islington 020B,1016
E01002795,Islington 013D,854
E01002796,Islington 013E,505
E01002797,Islington 018B,874
E01002798,Islington 018C,898
E01002799,Islington 018D,857
E01002800,Islington 018E,794
E01002801,Islington 020C,757
E01002802,Islington 020D,822
E01002804,Islington 001D,710
E01002805,Islington 003B,718
E01002806,Islington 003C,701
E01002807,Islington 001E,806
E01002808,Islington 003D,866
E01002809,Islington 003E,737
E01002810,Islington 003F,793
E01002811,Islington 001F,733
E01002812,Kensington and Chelsea 013A,734
E01002813,Kensington and Chelsea 011A,682
E01002814,Kensington and Chelsea 015A,1020
E01002815,Kensington and Chelsea 011B,631
E01002816,Kensington and Chelsea 011C,545
E01002817,Kensington and Chelsea 011D,607
E01002818,Kensington and Chelsea 012A,719
E01002819,Kensington and Chelsea 012B,571
E01002821,Kensington and Chelsea 014A,537
E01002823,Kensington and Chelsea 014B,606
E01002824,Kensington and Chelsea 008A,551
E01002825,Kensington and Chelsea 008B,729
