Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01000255,Barnet 017A,632
E01000256,Barnet 016A,677
E01000257,Barnet 017B,912
E01000258,Barnet 016B,781
E01000259,Barnet 025D,981
E01000260,Barnet 025E,840
E01000261,Barnet 017C,678
E01000263,Barnet 016C,501
E01000264,Barnet 016D,715
E01000265,Barnet 011A,771
E01000266,Barnet 011B,507
E01000267,Barnet 005A,579
E01000268,Barnet 005B,932
E01000269,Barnet 005C,546
E01000270,Barnet 005D,635
E01000271,Barnet 008A,613
E01000272,Barnet 008B,498
E01000273,Barnet 008C,742
E01000274,Barnet 011C,698
E01000275,Barnet 012A,666
E01000276,Barnet 020A,496
E01000277,Barnet 012B,746
E01000278,Barnet 020B,503
E01000279,Barnet 007C,508
E01000280,Barnet 007D,508
E01000281,Barnet 008D,782
E01000282,Barnet 008E,692
E01000283,Barnet 012C,476
E01000284,Barnet 012D,813
E01000285,Barnet 004A,612
E01000286,Barnet 007E,666
E01000287,Barnet 004B,611
E01000288,Barnet 004C,564
E01000289,Barnet 004D,548
E01000290,Barnet 007F,669
E01000291,Barnet 004E,619
E01000292,Barnet 001E,655
E01000293,Barnet 001F,707
E01000294,Barnet 004F,731
E01000295,Barnet 023B,648
E01000296,Barnet 023C,767
E01000297,Barnet 027D,540
E01000298,Barnet 023D,733
E01000299,Barnet 019A,905
E01000300,Barnet 019B,681
E01000301,Barnet 020C,530
E01000302,Barnet 019C,838
E01000303,Barnet 020D,534
E01000304,Barnet 020E,603
E01000305,Barnet 036B,652
E01000306,Barnet 036C,618
E01000307,Barnet 039D,553
E01000308,Barnet 036D,959
E01000309,Barnet 031D,709
E01000310,Barnet 034C,845
E01000311,Barnet 034D,519
E01000312,Barnet 036E,721
E01000313,Barnet 036F,711
E01000314,Barnet 032F,781
E01000315,Barnet 022F,634
E01000316,Barnet 027E,889
E01000317,Barnet 019D,639
E01000318,Barnet 019E,634
E01000319,Barnet 027F,498
E01000320,Barnet 011D,809
E01000321,Barnet 012E,829
E01000322,Barnet 011E,803
